model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesMSE,-49090.5107464643,-71629.08724780277,root_mean_squared_error,0.07897591590881348,0.0605931282043457,0.5460779666900635,0.07897591590881348,0.0605931282043457,0.5460779666900635,1,True,5
LightGBMLarge,-53491.42126170964,-77141.7992247053,root_mean_squared_error,0.008465766906738281,0.0008962154388427734,1.1249961853027344,0.008465766906738281,0.0008962154388427734,1.1249961853027344,1,True,8
XGBoost,-56583.07558297491,-85569.39527786819,root_mean_squared_error,0.014980554580688477,0.0021812915802001953,0.4186077117919922,0.014980554580688477,0.0021812915802001953,0.4186077117919922,1,True,6
RandomForestMSE,-57311.05681987176,-73179.9979181815,root_mean_squared_error,0.08501887321472168,0.048484086990356445,0.44090771675109863,0.08501887321472168,0.048484086990356445,0.44090771675109863,1,True,3
CatBoost,-61686.46732134276,-123092.81830784497,root_mean_squared_error,0.006883144378662109,0.0006229877471923828,0.6512062549591064,0.006883144378662109,0.0006229877471923828,0.6512062549591064,1,True,4
WeightedEnsemble_L2,-68226.92294730862,-60342.98644456801,root_mean_squared_error,0.1249856948852539,0.0711662769317627,10.246793270111084,0.002711772918701172,0.00022840499877929688,0.006017446517944336,2,True,9
LightGBMXT,-72374.55224508567,-89252.53035090852,root_mean_squared_error,0.09131598472595215,0.009867429733276367,2.930243968963623,0.09131598472595215,0.009867429733276367,2.930243968963623,1,True,1
NeuralNetTorch,-78543.9176407728,-61290.435751300254,root_mean_squared_error,0.03483223915100098,0.009448528289794922,8.569701671600342,0.03483223915100098,0.009448528289794922,8.569701671600342,1,True,7
LightGBM,-105732.91362515218,-103067.05584955956,root_mean_squared_error,0.023455142974853516,0.0021920204162597656,1.0761752128601074,0.023455142974853516,0.0021920204162597656,1.0761752128601074,1,True,2
